date,total_new_cases,tokyo_new_cases,total_weekly_diff,tokyo_weekly_diff,total_severe_cases,tokyo_severe_cases,total_cum_deaths,tokyo_cum_deaths,total_daily_deaths,tokyo_daily_deaths
20200116,1,0,1,0,,,,,,
20200117,0,0,0,0,,,,,,
20200118,0,0,0,0,,,,,,
20200119,0,0,0,0,,,,,,
20200120,0,0,0,0,,,,,,
20200121,0,0,0,0,,,,,,
20200122,0,0,0,0,,,,,,
20200123,0,0,-1,0,,,,,,
20200124,1,1,1,1,,,,,,
20200125,1,1,1,1,,,,,,
20200126,1,0,1,0,,,,,,
20200127,0,0,0,0,,,,,,
20200128,3,0,3,0,,,,,,
20200129,1,0,1,0,,,,,,
20200130,4,1,4,1,,,,,,
20200131,0,0,-1,-1,,,,,,
20200201,0,0,-1,-1,,,,,,
20200202,0,0,-1,0,,,,,,
20200203,0,0,0,0,,,,,,
20200204,1,0,-2,0,,,,,,
20200205,2,0,1,0,,,,,,
20200206,0,0,-4,-1,,,,,,
20200207,0,0,0,0,,,,,,
20200208,0,0,0,0,,,,,,
20200209,0,0,0,0,,,,,,
20200210,0,0,0,0,,,,,,
20200211,1,0,0,0,,,,,,
20200212,1,0,-1,0,,,,,,
20200213,3,0,3,0,,,,,,
20200214,5,0,5,0,,,,,,
20200215,4,0,4,0,,,,,,
20200216,1,0,1,0,,,,,,
20200217,6,0,6,0,,,,,,
20200218,8,3,7,3,,,,,,
20200219,9,3,8,3,,,,,,
20200220,8,0,5,0,,,,,,
20200221,13,3,8,3,,,,,,
20200222,23,1,19,1,,,,,,
20200223,10,0,9,0,,,,,,
20200224,16,3,10,3,,,,,,
20200225,8,0,0,-3,,,,,,
20200226,22,3,13,0,,,,,,
20200227,24,1,16,1,,,,,,
20200228,19,0,6,-3,,,,,,
20200229,9,1,-14,0,,,,,,
20200301,14,2,4,2,,,,,,
20200302,14,0,-2,-3,,,,,,
20200303,22,1,14,1,,,,,,
20200304,34,4,12,1,,,,,,
20200305,33,8,9,7,,,,,,
20200306,54,6,35,6,,,,,,
20200307,44,6,35,5,,,,,,
20200308,35,0,21,-2,,,,,,
20200309,27,0,13,0,,,,,,
20200310,60,3,38,2,,,,,,
20200311,52,6,18,2,,,,,,
20200312,55,2,22,-6,,,,,,
20200313,34,2,-20,-4,,,,,,
20200314,62,10,18,4,,,,,,
20200315,29,3,-6,3,,,,,,
20200316,16,0,-11,0,,,,,,
20200317,45,12,-15,9,,,,,,
20200318,39,9,-13,3,,,,,,
20200319,39,7,-16,5,,,,,,
20200320,52,11,18,9,,,,,,
20200321,35,7,-27,-3,,,,,,
20200322,45,3,16,0,,,,,,
20200323,39,16,23,16,,,,,,
20200324,89,36,44,24,,,,,,
20200325,93,41,54,32,,,,,,
20200326,93,46,54,39,,,,,,
20200327,96,21,44,10,,,,,,
20200328,222,64,187,57,,,,,,
20200329,151,72,106,69,,,,,,
20200330,80,12,41,-4,,,,,,
20200331,227,79,138,43,,,,,,
20200401,257,67,164,26,,,,,,
20200402,281,98,188,52,,,,,,
20200403,353,92,257,71,,,,,,
20200404,365,118,143,54,,,,,,
20200405,346,141,195,69,,,,,,
20200406,248,85,168,73,,,,,,
20200407,365,87,138,8,,,,,,
20200408,522,155,265,88,,,,,,
20200409,574,182,293,84,,,,,,
20200410,640,199,287,107,,,,,,
20200411,644,200,279,82,,,,,,
20200412,486,174,140,33,,,,,,
20200413,387,100,139,15,,,,,,
20200414,446,159,81,72,,,,,,
20200415,552,127,30,-28,,,,,,
20200416,558,150,-16,-32,,,,,,
20200417,572,204,-68,5,,,,,,
20200418,577,185,-67,-15,,,,,,
20200419,377,108,-109,-66,,,,,,
20200420,346,102,-41,2,,,,,,
20200421,389,125,-57,-34,,,,,,
20200422,446,123,-106,-4,,,,,,
20200423,439,134,-119,-16,,,,,,
20200424,444,171,-128,-33,,,,,,
20200425,371,119,-206,-66,,,,,,
20200426,224,82,-153,-26,,,,,,
20200427,182,41,-164,-61,,,,,,
20200428,279,114,-110,-11,,,,,,
20200429,217,46,-229,-77,,,,,,
20200430,202,59,-237,-75,,,,,,
20200501,282,165,-162,-6,,,,,,
20200502,288,154,-83,35,,,,,,
