日付,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,,（単位：個/cm2）
2019年1月4日（金）,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月5日（土）,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月6日（日）,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月7日（月）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月8日（火）,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,
2019年1月9日（水）,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,,
2019年1月10日（木）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月11日（金）,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.1,0.0,,
2019年1月12日（土）,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,,
2019年1月13日（日）,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,,
2019年1月14日（月）,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,,
2019年1月15日（火）,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,
2019年1月16日（水）,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月17日（木）,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,,
2019年1月18日（金）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月19日（土）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月20日（日）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月21日（月）,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,,
2019年1月22日（火）,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,,
2019年1月23日（水）,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,
2019年1月24日（木）,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,,
2019年1月25日（金）,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,,
2019年1月26日（土）,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,,
2019年1月27日（日）,0.0,0.0,0.3,0.0,0.3,0.2,0.0,0.1,0.1,0.0,0.0,0.0,,
2019年1月28日（月）,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.0,,
2019年1月29日（火）,0.9,0.6,0.0,0.0,0.0,0.9,0.6,0.0,0.0,0.0,0.0,0.0,,
2019年1月30日（水）,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年1月31日（木）,0.0,0.6,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,
2019年2月1日（金）,0.0,0.0,0.0,0.9,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.2,,
2019年2月2日（土）,0.0,0.3,0.3,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.2,,
2019年2月3日（日）,0.0,1.2,0.3,0.3,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.2,,
2019年2月4日（月）,0.6,0.9,0.6,0.3,0.6,0.0,0.6,0.0,0.0,0.0,1.5,0.3,,
2019年2月5日（火）,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年2月6日（水）,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019年2月7日（木）,4.9,2.8,3.4,2.2,3.1,2.5,2.2,2.5,0.6,1.2,0.6,0.3,,
2019年2月8日（金）,0.0,0.3,0.6,0.3,0.6,0.0,0.0,0.0,0.1,0.2,0.2,0.0,,
2019年2月9日（土）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.0,,
2019年2月10日（日）,0.3,0.6,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.2,0.2,0.0,,
2019年2月11日（月）,0.6,0.0,0.0,0.6,1.2,0.0,0.0,0.0,0.1,0.2,0.2,0.0,,
2019年2月12日（火）,0.9,0.6,0.3,0.0,1.9,0.6,0.3,0.0,0.0,0.3,0.0,0.0,,
2019年2月13日（水）,0.9,0.6,1.5,0.9,0.9,0.6,0.0,0.3,0.0,0.0,1.2,0.3,,
2019年2月14日（木）,0.0,0.0,1.8,0.0,0.0,0.6,0.0,0.3,0.0,0.6,0.0,0.3,,
2019年2月15日（金）,2.1,2.7,2.4,2.1,4.3,1.1,3.0,0.3,0.0,0.6,0.4,0.7,,
2019年2月16日（土）,0.9,0.0,0.6,0.6,0.3,1.1,3.0,0.3,0.0,0.6,0.4,0.7,,
2019年2月17日（日）,0.3,0.0,1.5,0.0,0.3,1.1,3.0,0.3,0.0,0.6,0.4,0.7,,
2019年2月18日（月）,4.6,3.4,7.4,5.2,4.9,2.5,8.3,4.6,4.0,8.6,10.8,7.3,,
2019年2月19日（火）,8.3,32.1,17.5,5.5,17.6,10.2,30.9,33.3,7.1,31.2,13.6,22.5,,
2019年2月20日（水）,43.5,20.1,76.2,46.2,69.4,138.6,56.6,50.9,19.4,68.7,27.5,64.5,,
2019年2月21日（木）,11.7,21.0,20.7,8.3,30.2,118.8,41.4,96.6,16.4,75.9,52.5,16.4,,
2019年2月22日（金）,46.3,122.5,33.6,38.3,108.0,60.7,87.2,60.4,31.2,45.6,45.2,31.3,,
2019年2月23日（土）,0.9,50.3,16.0,8.0,21.0,60.7,87.2,60.4,31.2,45.6,45.2,31.3,,
2019年2月24日（日）,29.6,82.1,75.6,103.4,27.5,60.7,87.2,60.4,31.2,45.6,45.2,31.3,,
2019年2月25日（月）,80.6,232.1,142.9,196.3,171.6,135.2,136.4,118.2,146.0,151.2,55.6,99.2,,
2019年2月26日（火）,203.1,201.5,203.7,214.8,137.3,304.9,166.4,184.6,158.6,129.6,159.9,126.5,,
2019年2月27日（水）,123.5,63.9,129.6,122.8,107.4,58.3,21.9,17.0,11.4,61.1,56.5,54.6,,
2019年2月28日（木）,23.5,1.9,17.9,8.3,9.0,50.0,2.2,2.5,0.3,6.5,1.2,0.3,,
2019年3月1日（金）,79.0,122.5,131.5,116.4,62.7,71.4,290.9,18.5,7.2,96.4,88.8,68.5,,
2019年3月2日（土）,173.5,221.9,232.7,238.6,223.8,71.4,290.9,18.5,7.2,96.4,88.8,68.5,,
2019年3月3日（日）,16.4,4.3,2.8,7.1,2.2,71.4,290.9,18.5,7.2,96.4,88.8,68.5,,
2019年3月4日（月）,23.1,15.7,3.4,3.4,3.1,4.3,1.7,3.4,4.6,4.9,3.1,1.2,,
2019年3月5日（火）,270.7,326.2,322.8,260.2,243.2,367.3,247.8,170.7,228.7,131.8,235.2,143.8,,
2019年3月6日（水）,54.3,92.6,12.3,25.6,74.1,146.3,41.4,38.0,1.2,39.5,34.9,14.5,,
2019年3月7日（木）,57.4,170.1,104.9,67.9,7.4,324.1,359.1,214.5,125.6,157.7,76.5,54.5,,
2019年3月8日（金）,188.3,174.4,349.4,127.8,210.8,115.0,84.1,111.9,82.3,49.0,57.0,9.4,,
2019年3月9日（土）,168.5,66.4,252.5,164.2,166.0,115.0,84.1,111.9,82.3,49.0,57.0,9.4,,
2019年3月10日（日）,95.2,179.6,39.5,49.4,78.1,115.0,84.1,111.9,82.3,49.0,57.0,9.4,,
2019年3月11日（月）,236.7,15.4,150.6,193.5,151.5,400.9,324.2,151.6,325.6,239.5,209.9,174.4,,
2019年3月12日（火）,206.8,241.3,202.9,201.8,206.2,87.0,180.4,91.0,183.3,117.0,196.9,80.9,,
2019年3月13日（水）,286.5,233.0,345.7,225.3,219.4,172.5,209.6,151.5,73.4,117.3,302.2,162.3,,
2019年3月14日（木）,208.6,204.6,196.0,6.2,137.6,159.0,113.7,157.7,65.1,98.5,73.5,28.4,,
2019年3月15日（金）,79.3,71.6,98.1,71.0,13.0,43.1,93.5,59.7,39.8,53.3,57.2,29.6,,
2019年3月16日（土）,86.7,161.9,117.3,52.1,74.4,43.1,93.5,59.7,39.8,53.3,57.2,29.6,,
2019年3月17日（日）,125.6,150.3,159.6,106.8,136.3,43.1,93.5,59.7,39.8,53.3,57.2,29.6,,
2019年3月18日（月）,87.0,30.2,94.5,72.4,15.1,38.3,51.1,41.3,6.2,38.0,31.1,16.7,,
2019年3月19日（火）,177.7,171.9,150.6,224.7,145.4,40.2,77.3,73.5,46.0,35.2,53.7,34.7,,
2019年3月20日（水）,58.0,58.6,252.8,38.9,104.6,144.6,103.6,209.1,74.6,55.7,55.1,81.5,,
2019年3月21日（木）,144.5,115.8,455.2,230.9,162.0,144.6,103.6,209.1,74.6,55.7,55.1,81.5,,
2019年3月22日（金）,430.8,449.0,128.7,422.5,327.8,200.1,298.3,243.1,128.7,200.9,208.9,134.4,,
2019年3月23日（土）,160.8,170.4,133.9,112.4,136.4,200.1,298.3,243.1,128.7,200.9,208.9,134.4,,
2019年3月24日（日）,182.5,194.4,88.3,121.6,176.5,200.1,298.3,243.1,128.7,200.9,208.9,134.4,,
2019年3月25日（月）,138.6,34.0,13.9,75.6,164.9,13.0,56.6,55.9,53.1,32.1,84.7,34.9,,
2019年3月26日（火）,122.5,174.1,273.1,108.6,142.0,122.5,160.5,105.9,54.0,94.5,61.7,45.5,,
2019年3月27日（水）,456.4,84.2,493.2,99.4,409.3,536.8,269.8,169.5,78.7,141.6,169.5,113.3,,
2019年3月28日（木）,118.8,177.5,179.3,135.2,171.6,123.4,118.7,113.6,70.9,56.5,106.8,42.0,,
2019年3月29日（金）,10.5,83.6,28.7,28.4,11.1,7.8,18.0,18.1,12.6,8.4,18.9,11.3,,
2019年3月30日（土）,30.9,90.7,52.5,32.7,48.2,7.8,18.0,18.1,12.6,8.4,18.9,11.3,,
2019年3月31日（日）,76.0,37.0,68.2,99.1,36.8,7.8,18.0,18.1,12.6,8.4,18.9,11.3,,
2019年4月1日（月）,10.5,1.2,16.7,23.2,14.5,38.3,27.5,30.0,12.6,5.9,13.9,10.5,,
2019年4月2日（火）,31.2,70.7,23.5,108.4,19.5,44.1,25.4,6.8,10.8,6.5,6.1,13.9,,
2019年4月3日（水）,15.7,18.5,18.2,10.2,20.1,26.5,41.4,30.2,16.0,17.3,26.2,6.5,,
2019年4月4日（木）,28.7,103.1,50.0,95.4,29.1,33.7,41.9,22.8,22.2,7.1,33.0,18.2,,
2019年4月5日（金）,533.3,259.3,377.1,212.6,359.5,145.1,94.3,欠測,55.1,29.2,197.8,55.3,,
2019年4月6日（土）,223.5,169.4,224.1,305.6,294.4,145.1,94.3,欠測,55.1,29.2,197.8,55.3,,
2019年4月7日（日）,162.7,216.7,225.3,241.7,275.6,145.1,94.3,欠測,55.1,29.2,197.8,55.3,,
2019年4月8日（月）,22.2,56.8,41.0,43.2,86.7,67.9,39.8,70.1,25.0,10.2,11.4,29.7,,
2019年4月9日（火）,65.5,33.3,69.5,27.2,欠測,44.8,15.1,10.2,8.3,10.2,26.6,24.7,,
2019年4月10日（水）,19.5,4.3,11.2,11.1,33.7,12.9,13.3,13.6,11.4,1.8,7.1,4.0,,
2019年4月11日（木）,8.0,13.3,12.4,5.8,6.8,8.3,14.2,5.5,4.7,7.4,13.9,5.0,,
