datetime,temp,rain(mm),weather,snow(cm)
2020/4/24 1:00:00,10.2,0,,0
2020/4/24 2:00:00,10,0,,0
2020/4/24 3:00:00,9.8,0,3,0
2020/4/24 4:00:00,9.4,0,,0
2020/4/24 5:00:00,9.1,0,,0
2020/4/24 6:00:00,9.3,0,2,0
2020/4/24 7:00:00,9.9,0,,0
2020/4/24 8:00:00,12.1,0,,0
2020/4/24 9:00:00,14,0,2,0
2020/4/24 10:00:00,15.1,0,,0
2020/4/24 11:00:00,16.3,0,,0
2020/4/24 12:00:00,16.7,0,2,0
2020/4/24 13:00:00,16,0,,0
2020/4/24 14:00:00,17,0,,0
2020/4/24 15:00:00,15.2,0,2,0
2020/4/24 16:00:00,16.2,0,,0
2020/4/24 17:00:00,15.4,0,,0
2020/4/24 18:00:00,15.1,0,2,0
2020/4/24 19:00:00,12.6,0,,0
2020/4/24 20:00:00,11.9,0,,0
2020/4/24 21:00:00,8.8,0,10,0
2020/4/24 22:00:00,7.6,0.5,,0
2020/4/24 23:00:00,7.6,0,,0
2020/4/25 00:00:00,7.4,0,,0
2020/4/25 1:00:00,6.2,0,,0
2020/4/25 2:00:00,5.7,0,,0
2020/4/25 3:00:00,5.7,0,1,0
2020/4/25 4:00:00,5.5,0,,0
2020/4/25 5:00:00,5.6,0,,0
2020/4/25 6:00:00,6.8,0,1,0
2020/4/25 7:00:00,10.2,0,,0
2020/4/25 8:00:00,11.9,0,,0
2020/4/25 9:00:00,13.3,0,1,0
2020/4/25 10:00:00,15.4,0,,0
2020/4/25 11:00:00,16,0,,0
2020/4/25 12:00:00,17.7,0,1,0
2020/4/25 13:00:00,17.1,0,,0
2020/4/25 14:00:00,16.9,0,,0
2020/4/25 15:00:00,17.8,0,1,0
2020/4/25 16:00:00,16.5,0,,0
2020/4/25 17:00:00,15.2,0,,0
2020/4/25 18:00:00,14.7,0,1,0
2020/4/25 19:00:00,14.1,0,,0
2020/4/25 20:00:00,14.7,0,,0
2020/4/25 21:00:00,14.4,0,1,0
2020/4/25 22:00:00,14.4,0,,0
2020/4/25 23:00:00,13.8,0,,0
2020/4/26 00:00:00,14,0,,0
2020/4/26 1:00:00,14.1,0,,0
2020/4/26 2:00:00,14.4,0,,0
2020/4/26 3:00:00,14.6,0,1,0
2020/4/26 4:00:00,14.1,0,,0
2020/4/26 5:00:00,12,0,,0
2020/4/26 6:00:00,13.2,0,2,0
2020/4/26 7:00:00,14.8,0,,0
2020/4/26 8:00:00,18,0,,0
2020/4/26 9:00:00,19.2,0,3,0
2020/4/26 10:00:00,20.9,0,,0
2020/4/26 11:00:00,22.7,0,,0
2020/4/26 12:00:00,22.1,0,3,0
2020/4/26 13:00:00,23.4,0,,0
2020/4/26 14:00:00,23.3,0,,0
2020/4/26 15:00:00,23.1,0,3,0
2020/4/26 16:00:00,21.3,0,,0
2020/4/26 17:00:00,20.6,0,,0
2020/4/26 18:00:00,19.7,0,3,0
2020/4/26 19:00:00,19.1,0,,0
2020/4/26 20:00:00,18.7,0,,0
2020/4/26 21:00:00,18.6,0,4,0
2020/4/26 22:00:00,18.6,0,,0
2020/4/26 23:00:00,16.9,0,,0
2020/4/27 00:00:00,15.5,0,,0
2020/4/27 1:00:00,14.4,0,,0
2020/4/27 2:00:00,13.7,0,,0
2020/4/27 3:00:00,13.3,0,3,0
2020/4/27 4:00:00,12.6,0,,0
2020/4/27 5:00:00,12.1,0,,0
2020/4/27 6:00:00,12.6,0,3,0
2020/4/27 7:00:00,13.4,0,,0
2020/4/27 8:00:00,13.9,0,,0
2020/4/27 9:00:00,14.5,0,4,0
2020/4/27 10:00:00,14.8,0,,0
2020/4/27 11:00:00,16.7,0,,0
2020/4/27 12:00:00,16.4,0,4,0
2020/4/27 13:00:00,16.3,0,,0
2020/4/27 14:00:00,15.5,0,,0
2020/4/27 15:00:00,12.6,1.5,10,0
2020/4/27 16:00:00,12.2,0,,0
2020/4/27 17:00:00,11.5,0.5,,0
2020/4/27 18:00:00,11.2,1.5,10,0
2020/4/27 19:00:00,10.9,2.5,,0
2020/4/27 20:00:00,10.4,3,,0
2020/4/27 21:00:00,10.3,3,10,0
2020/4/27 22:00:00,10,0,,0
2020/4/27 23:00:00,9.5,0,,0
2020/4/28 00:00:00,8.5,0.5,,0
2020/4/28 1:00:00,8.6,0,,0
2020/4/28 2:00:00,8.4,0,,0
2020/4/28 3:00:00,8.9,0,4,0
2020/4/28 4:00:00,8.3,0,,0
2020/4/28 5:00:00,8.3,0,,0
2020/4/28 6:00:00,9.2,0,2,0
2020/4/28 7:00:00,10.7,0,,0
2020/4/28 8:00:00,12,0,,0
2020/4/28 9:00:00,13.3,0,4,0
2020/4/28 10:00:00,14.6,0,,0
2020/4/28 11:00:00,15.5,0,,0
2020/4/28 12:00:00,17.1,0,3,0
